Date,Equity,DD
01/04/2011,75160,-510
01/05/2011,76555,0
01/06/2011,77315,0
01/07/2011,77170,-145
01/09/2011,77465,0
01/10/2011,78635,0
01/11/2011,79135,0
01/12/2011,79230,0
01/13/2011,79625,0
01/14/2011,79440,-185
01/16/2011,79435,-190
01/17/2011,79475,-150
01/18/2011,80045,0
01/19/2011,80320,0
01/20/2011,82380,0
01/21/2011,82840,0
01/23/2011,83525,0
01/24/2011,84055,0
01/25/2011,84805,0
01/26/2011,85260,0
01/27/2011,86295,0
01/28/2011,85800,-495
01/30/2011,85800,-495
01/31/2011,87210,0
02/01/2011,87235,0
02/02/2011,86880,-355
02/03/2011,86880,-355
02/04/2011,86880,-355
02/06/2011,87075,-160
02/07/2011,87100,-135
02/08/2011,87100,-135
02/09/2011,87100,-135
02/10/2011,87100,-135
02/11/2011,87100,-135
02/13/2011,87100,-135
02/14/2011,87100,-135
02/15/2011,87135,-100
02/16/2011,87300,0
02/17/2011,87395,0
02/18/2011,87430,0
02/20/2011,87430,0
02/21/2011,86875,-555
02/22/2011,86730,-700
02/23/2011,86730,-700
02/24/2011,87355,-75
02/25/2011,88195,0
02/27/2011,88165,-30
02/28/2011,88920,0
03/01/2011,88465,-455
03/02/2011,88410,-510
03/03/2011,88705,-215
03/04/2011,88460,-460
03/06/2011,88525,-395
03/07/2011,88575,-345
03/08/2011,88260,-660
03/09/2011,88010,-910
03/10/2011,88225,-695
03/11/2011,88320,-600
03/13/2011,87435,-1485
03/14/2011,86445,-2475
03/15/2011,88560,-360
03/16/2011,87785,-1135
03/17/2011,87595,-1325
03/18/2011,86480,-2440
03/20/2011,86480,-2440
03/21/2011,86385,-2535
03/22/2011,86390,-2530
03/23/2011,86355,-2565
03/24/2011,87015,-1905
03/25/2011,86930,-1990
03/27/2011,86930,-1990
03/28/2011,87425,-1495
03/29/2011,87885,-1035
03/30/2011,87710,-1210
03/31/2011,86445,-2475
04/01/2011,88460,-460
04/03/2011,88460,-460
04/04/2011,88460,-460
04/05/2011,88460,-460
04/06/2011,88405,-515
04/07/2011,88430,-490
04/08/2011,88430,-490
04/10/2011,88385,-535
04/11/2011,87785,-1135
04/12/2011,87860,-1060
04/13/2011,88075,-845
04/14/2011,88160,-760
04/15/2011,88100,-820
04/17/2011,88105,-815
04/18/2011,88130,-790
04/19/2011,88130,-790
04/20/2011,88130,-790
04/21/2011,88835,-85
04/24/2011,88955,0
04/25/2011,89185,0
04/26/2011,89390,0
04/27/2011,89325,-65
04/28/2011,89325,-65
04/29/2011,89420,0
05/01/2011,87655,-1765
05/02/2011,89135,-285
05/03/2011,89160,-260
05/04/2011,89065,-355
05/05/2011,91585,0
05/06/2011,90960,-625
05/08/2011,92115,0
05/09/2011,91920,-195
05/10/2011,91740,-375
05/11/2011,93240,0
05/12/2011,93375,0
05/13/2011,93680,0
05/15/2011,93680,0
05/16/2011,93195,-485
05/17/2011,95135,0
